year,gdp_per_capita,unemployment_rate,population,urban_pct,country_code,asylum_applications,temp_mean,heatwave_days,precip_total,precip_days_heavy,dry_days,evapotrans_total
2010,46611.1393420232,4.883,8363404.0,67.1047429254747,AT,11060.0,9.422351,0,783.7,7,229,759.994
2011,51116.8953522042,4.637,8391643.0,67.1484255415056,AT,14455.0,10.900239,0,498.1,2,277,873.2208
2012,48250.4059142637,4.909,8429991.0,67.2085909812279,AT,17450.0,11.087264,0,552.6,1,254,891.62646
2013,50305.3545774973,5.367,8479823.0,67.2981308784247,AT,17520.0,10.479536,2,709.0,4,237,810.2114
2014,51314.9722616322,5.674,8546356.0,67.4154327591781,AT,28065.0,11.703919,0,796.7,4,237,811.51587
2015,43915.228020857,5.802,8642699.0,67.5576175537383,AT,88180.0,11.944531,0,561.2,3,258,910.37604
2016,45061.4993920192,6.064,8736668.0,67.7218061923556,AT,42285.0,11.25837,0,704.2,2,243,835.9715
2017,47163.7425775142,5.561,8797566.0,67.9051196052802,AT,24735.0,11.234219,0,527.5,0,263,967.14734
2018,51194.0749841299,4.933,8840521.0,68.1046787227623,AT,13745.0,12.16847,0,614.9,5,248,979.1679
2019,49885.9947355204,4.56,8879920.0,68.3176044750522,AT,12885.0,12.056089,0,614.0,1,251,958.0313
2020,48716.4098900349,5.201,8916864.0,68.5410177924001,AT,14775.0,11.445965,0,739.5,6,245,907.12695
2021,53648.6437976214,6.459,8955797.0,68.773601700253,AT,39930.0,10.809206,0,643.60004,4,245,922.5667
2022,52336.7725223758,4.992,9041851.0,68.998085127906,AT,112270.0,11.749401,0,666.2,3,240,967.20624
2023,56579.504175468,5.264,9131761.0,69.2265358276021,AT,59230.0,12.192665,0,767.8,4,245,942.94763
2010,44197.393671162,8.293,10895586.0,84.9719309583717,BE,26560.0,9.455609,0,812.5,6,234,697.9758
2011,47760.8298776546,7.14,11038264.0,85.2349607044689,BE,32270.0,11.440444,0,650.4,2,244,742.12775
2012,44874.1709182123,7.542,11106932.0,85.4915403816388,BE,28305.0,10.571455,0,824.3,2,206,695.77
2013,46964.5946777056,8.425,11159407.0,85.7415410247275,BE,21225.0,10.122556,0,706.8,0,231,690.93866
2014,47995.7786961339,8.523,11209057.0,85.9848336685807,BE,22850.0,11.818275,0,821.6,4,211,711.96875
2015,40893.804537772,8.482,11274196.0,86.2212893480444,BE,44760.0,11.231631,0,691.6,1,228,745.0989
2016,41854.5498296444,7.83,11331422.0,86.4507790979645,BE,18325.0,11.064135,0,779.6,2,223,705.0978
2017,44035.3239358548,7.09,11375158.0,86.6731739531869,BE,18370.0,11.118499,0,737.0,1,217,729.0606
