country_code,year,asylum_applications
AT,2010,11060.0
AT,2011,14455.0
AT,2012,17450.0
AT,2013,17520.0
AT,2014,28065.0
AT,2015,88180.0
AT,2016,42285.0
AT,2017,24735.0
AT,2018,13745.0
AT,2019,12885.0
AT,2020,14775.0
AT,2021,39930.0
AT,2022,112270.0
AT,2023,59230.0
BE,2010,26560.0
BE,2011,32270.0
BE,2012,28305.0
BE,2013,21225.0
BE,2014,22850.0
BE,2015,44760.0
BE,2016,18325.0
BE,2017,18370.0
BE,2018,22565.0
BE,2019,27505.0
BE,2020,16735.0
BE,2021,25035.0
BE,2022,36795.0
BE,2023,35225.0
BG,2010,1025.0
BG,2011,890.0
BG,2012,1385.0
BG,2013,7145.0
BG,2014,11080.0
BG,2015,20390.0
BG,2016,19420.0
BG,2017,3695.0
BG,2018,2535.0
BG,2019,2150.0
BG,2020,3525.0
BG,2021,11000.0
BG,2022,20390.0
BG,2023,22510.0
CY,2010,2875.0
CY,2011,1770.0
CY,2012,1635.0
CY,2013,1255.0
CY,2014,1745.0
CY,2015,2265.0
CY,2016,2940.0
CY,2017,4600.0
CY,2018,7765.0
CY,2019,13650.0
CY,2020,7495.0
CY,2021,13670.0
CY,2022,22190.0
CY,2023,11910.0
CZ,2010,790.0
CZ,2011,755.0
CZ,2012,755.0
CZ,2013,710.0
CZ,2014,1155.0
CZ,2015,1525.0
CZ,2016,1480.0
CZ,2017,1450.0
CZ,2018,1700.0
CZ,2019,1920.0
CZ,2020,1165.0
CZ,2021,1410.0
CZ,2022,1690.0
CZ,2023,1405.0
DE,2010,48590.0
DE,2011,53345.0
DE,2012,77650.0
DE,2013,126995.0
DE,2014,202815.0
DE,2015,476620.0
DE,2016,745265.0
DE,2017,222625.0
DE,2018,184235.0
DE,2019,165685.0
DE,2020,122015.0
DE,2021,190615.0
DE,2022,243880.0
DE,2023,351600.0
DK,2010,5100.0
DK,2011,3985.0
DK,2012,6075.0
DK,2013,7230.0
DK,2014,14715.0
DK,2015,20970.0
DK,2016,6195.0
DK,2017,3235.0
DK,2018,3600.0
DK,2019,2740.0
DK,2020,1490.0
DK,2021,2100.0
DK,2022,4595.0
DK,2023,2480.0
EE,2010,35.0
EE,2011,65.0
EE,2012,75.0
EE,2013,95.0
EE,2014,155.0
EE,2015,230.0
EE,2016,175.0
EE,2017,190.0
EE,2018,95.0
EE,2019,105.0
EE,2020,50.0
EE,2021,80.0
EE,2022,2945.0
EE,2023,3985.0
ES,2010,2745.0
ES,2011,3420.0
ES,2012,2565.0
ES,2013,4495.0
ES,2014,5615.0
ES,2015,14785.0
ES,2016,15755.0
ES,2017,36610.0
ES,2018,54060.0
ES,2019,117815.0
ES,2020,88540.0
ES,2021,65315.0
ES,2022,117960.0
ES,2023,162435.0
FI,2010,3675.0
FI,2011,2975.0
FI,2012,3115.0
FI,2013,3220.0
FI,2014,3625.0
FI,2015,32345.0
FI,2016,5625.0
FI,2017,5020.0
FI,2018,4515.0
FI,2019,4535.0
FI,2020,3205.0
FI,2021,2540.0
FI,2022,5805.0
FI,2023,5355.0
FR,2010,52725.0
FR,2011,57335.0
FR,2012,61455.0
FR,2013,66265.0
FR,2014,64310.0
FR,2015,76165.0
FR,2016,84270.0
FR,2017,99330.0
FR,2018,137665.0
FR,2019,151070.0
FR,2020,93200.0
FR,2021,120705.0
FR,2022,156570.0
FR,2023,167055.0
GR,2010,10275.0
GR,2011,9310.0
GR,2012,9575.0
GR,2013,8225.0
GR,2014,9435.0
GR,2015,13205.0
GR,2016,51110.0
GR,2017,58660.0
GR,2018,66975.0
GR,2019,77285.0
GR,2020,40560.0
GR,2021,28355.0
GR,2022,37380.0
GR,2023,64230.0
HR,2010,
HR,2011,
HR,2012,
HR,2013,1080.0
HR,2014,450.0
HR,2015,210.0
HR,2016,2225.0
HR,2017,975.0
HR,2018,800.0
HR,2019,1400.0
HR,2020,1605.0
HR,2021,2550.0
HR,2022,2730.0
HR,2023,1750.0
HU,2010,2105.0
HU,2011,1695.0
HU,2012,2155.0
HU,2013,18900.0
HU,2014,42775.0
HU,2015,177135.0
HU,2016,29430.0
HU,2017,3395.0
HU,2018,670.0
HU,2019,500.0
HU,2020,115.0
HU,2021,40.0
HU,2022,45.0
HU,2023,30.0
IE,2010,1940.0
IE,2011,1290.0
IE,2012,955.0
IE,2013,945.0
IE,2014,1450.0
IE,2015,3275.0
IE,2016,2245.0
IE,2017,2930.0
IE,2018,3670.0
IE,2019,4780.0
IE,2020,1565.0
IE,2021,2650.0
IE,2022,13660.0
