year,temp_mean,heatwave_days,precip_total,precip_days_heavy,dry_days,evapotrans_total,country_code
2010,9.422351,0,783.7,7,229,759.994,AT
2011,10.900239,0,498.1,2,277,873.2208,AT
2012,11.087264,0,552.6,1,254,891.62646,AT
2013,10.479536,2,709.0,4,237,810.2114,AT
2014,11.703919,0,796.7,4,237,811.51587,AT
2015,11.944531,0,561.2,3,258,910.37604,AT
2016,11.25837,0,704.2,2,243,835.9715,AT
2017,11.234219,0,527.5,0,263,967.14734,AT
2018,12.16847,0,614.9,5,248,979.1679,AT
2019,12.056089,0,614.0,1,251,958.0313,AT
2020,11.445965,0,739.5,6,245,907.12695,AT
2021,10.809206,0,643.60004,4,245,922.5667,AT
2022,11.749401,0,666.2,3,240,967.20624,AT
2023,12.192665,0,767.8,4,245,942.94763,AT
2010,9.455609,0,812.5,6,234,697.9758,BE
2011,11.440444,0,650.4,2,244,742.12775,BE
2012,10.571455,0,824.3,2,206,695.77,BE
2013,10.122556,0,706.8,0,231,690.93866,BE
2014,11.818275,0,821.6,4,211,711.96875,BE
2015,11.231631,0,691.6,1,228,745.0989,BE
2016,11.064135,0,779.6,2,223,705.0978,BE
2017,11.118499,0,737.0,1,217,729.0606,BE
2018,11.601763,0,629.8,1,237,816.97546,BE
2019,11.304914,1,787.9,2,210,775.1603,BE
2020,11.881183,0,766.2,2,231,824.1075,BE
2021,10.3208,0,974.2,4,197,673.4724,BE
2022,11.818944,0,623.0,1,252,842.44904,BE
2023,11.828218,0,1000.9,2,197,777.81024,BE
2010,10.878186,0,647.0,4,230,874.6166,BG
2011,10.515007,0,362.9,1,286,940.7173,BG
2012,11.244306,0,532.9,1,276,1016.5704,BG
2013,11.611537,0,495.5,2,274,960.3876,BG
2014,11.446023,0,748.0,4,238,855.2559,BG
2015,11.271422,0,614.39996,1,264,913.40576,BG
2016,11.358964,0,636.6,3,256,931.91406,BG
2017,10.826187,0,773.9,7,256,982.777,BG
2018,11.430165,0,678.7,0,236,960.58954,BG
2019,12.209891,0,552.8,4,263,1025.8298,BG
2020,11.473503,0,727.0,6,256,972.6823,BG
2021,11.050691,0,792.2,8,252,997.147,BG
2022,11.658339,0,576.4,2,268,1036.2249,BG
2023,12.3743725,0,814.80005,7,251,1009.61084,BG
2010,21.117931,35,287.6,3,323,1545.5212,CY
2011,19.586744,37,464.4,3,292,1483.8108,CY
2012,20.227371,54,565.7,3,289,1516.4178,CY
2013,20.281687,35,304.0,2,313,1577.0817,CY
2014,20.213434,27,432.1,3,296,1484.6128,CY
2015,20.023897,32,361.1,3,306,1489.573,CY
2016,20.801157,47,236.3,0,318,1607.2124,CY
2017,19.73755,31,195.9,0,317,1534.2832,CY
2018,20.603334,28,330.6,1,299,1523.6136,CY
2019,19.729395,31,429.5,2,285,1470.9772,CY
2020,20.093313,44,337.2,1,306,1524.0653,CY
2021,20.365046,43,215.6,0,321,1597.8214,CY
2022,19.654058,23,228.0,2,315,1546.402,CY
2023,20.167637,29,286.2,1,303,1497.1388,CY
2010,7.9709835,0,840.60004,7,223,684.7308,CZ
2011,9.946491,0,583.5,2,255,777.8306,CZ
2012,9.791659,0,695.4,4,244,790.61676,CZ
2013,9.155019,0,703.0,4,250,697.416,CZ
2014,10.970618,0,589.60004,3,246,759.53516,CZ
2015,11.081725,1,527.2,4,259,838.6768,CZ
2016,10.161298,0,630.0,2,241,757.0354,CZ
2017,10.094418,0,613.3,1,224,835.0979,CZ
2018,11.405165,0,412.0,1,273,945.47363,CZ
2019,11.112466,0,604.9,2,250,879.4501,CZ
2020,10.789299,0,761.4,6,239,839.8601,CZ
2021,9.353481,0,680.7,2,225,759.9941,CZ
2022,10.773921,0,683.10004,3,234,874.56934,CZ
2023,11.406558,0,772.7,3,215,901.027,CZ
2010,8.231562,1,772.7,4,229,674.7368,DE
2011,10.250586,0,643.1,5,260,748.1852,DE
2012,9.696337,0,664.7,2,234,722.3014,DE
2013,9.384569,0,662.5,3,254,685.2389,DE
2014,11.090198,0,615.7,3,230,726.0745,DE
2015,10.835534,0,575.7,1,241,791.00354,DE
2016,10.466151,0,511.5,1,246,758.78925,DE
2017,9.968899,0,836.0,4,206,680.88336,DE
2018,11.183624,0,412.5,2,278,909.0094,DE
2019,11.4498005,0,532.0,0,246,872.02747,DE
2020,11.2737875,0,538.7,1,252,827.8768,DE
2021,9.788625,0,661.10004,4,225,723.975,DE
2022,10.993573,1,489.0,1,265,861.38165,DE
2023,11.138693,0,830.9,3,216,821.7406,DE
2010,7.1287074,0,714.6,5,232,581.06396,DK
2011,9.101642,0,734.4,2,233,620.4651,DK
2012,8.536551,0,660.9,1,229,621.9055,DK
2013,8.6783085,0,569.9,0,243,643.18304,DK
2014,10.245666,0,718.7,3,224,665.22626,DK
2015,9.519084,0,745.6,1,220,638.87213,DK
2016,9.414586,0,578.1,0,238,646.3476,DK
2017,9.240674,0,838.8,2,202,594.74335,DK
2018,10.105257,0,472.9,0,255,777.24164,DK
2019,10.119971,0,729.6,1,211,695.2437,DK
2020,10.450416,0,632.6,1,222,711.0088,DK
2021,9.336501,0,679.5,4,229,659.7148,DK
2022,9.876341,0,556.7,1,245,706.10266,DK
2023,9.760109,0,832.0,4,221,713.0642,DK
2010,5.204159,0,624.6,0,232,581.3019,EE
2011,7.1128407,0,652.6,0,222,595.4486,EE
2012,5.4629545,0,856.5,1,211,540.2869,EE
2013,6.9665275,0,504.9,0,248,602.85345,EE
2014,7.0990734,0,591.2,0,242,596.33124,EE
2015,7.647446,0,596.8,0,232,585.5721,EE
2016,6.636953,0,659.5,4,243,578.77985,EE
2017,6.2269406,0,772.2,1,201,531.2304,EE
2018,7.1219125,0,563.1,1,237,659.824,EE
2019,7.2648168,0,786.2,0,192,620.6543,EE
2020,8.032365,0,811.2,1,216,612.5556,EE
2021,6.610759,0,749.4,2,205,622.5377,EE
2022,6.94266,0,691.3,1,212,634.61,EE
2023,6.895,0,888.8,4,197,636.77563,EE
2010,13.705885,1,492.2,4,276,1220.3618,ES
2011,14.762723,0,429.1,4,307,1297.0713,ES
2012,14.393177,5,305.1,2,321,1364.8418,ES
2013,13.769293,0,405.0,0,293,1241.6309,ES
2014,14.786034,0,447.6,2,290,1291.9255,ES
2015,15.208745,10,245.0,1,315,1347.5922,ES
2016,14.864015,5,497.8,5,290,1275.8285,ES
2017,15.903745,12,356.8,3,302,1476.3489,ES
2018,14.647865,5,538.3,3,275,1269.994,ES
2019,15.423396,11,373.1,3,310,1443.919,ES
2020,15.401588,13,509.9,5,281,1332.2053,ES
2021,15.012455,7,551.1,3,293,1350.2117,ES
2022,16.32919,28,531.5,4,283,1422.5293,ES
2023,15.871067,19,516.7,5,300,1430.1937,ES
2010,4.725877,0,602.0,0,241,566.3176,FI
2011,6.6261563,0,704.1,1,227,571.05475,FI
2012,5.441726,0,884.0,1,210,521.3914,FI
2013,6.421796,0,581.3,1,238,565.6249,FI
2014,7.0083485,0,664.1,1,237,578.0059,FI
2015,7.2469788,0,688.8,0,227,547.60815,FI
2016,6.213146,0,663.7,2,242,556.84906,FI
2017,5.9569545,0,922.3,3,198,514.7384,FI
2018,6.6439404,0,583.2,0,239,638.3969,FI
2019,6.718918,0,829.3,1,212,598.4629,FI
2020,8.039525,0,948.9,4,205,626.1214,FI
2021,6.0467434,0,777.89996,3,231,607.9803,FI
2022,6.5302534,0,736.0,2,229,609.41394,FI
2023,6.3848653,0,856.9,3,214,617.24274,FI
2010,10.426125,0,605.5,1,253,778.0085,FR
2011,12.530799,0,571.10004,2,259,829.6976,FR
2012,11.529521,0,664.9,1,232,784.3173,FR
2013,11.109206,0,669.9,3,238,753.83215,FR
2014,12.251816,0,811.7,2,225,756.0538,FR
2015,12.244601,0,534.7,1,256,832.60065,FR
2016,11.7034,0,707.7,3,235,752.6535,FR
2017,12.035286,0,705.2,4,223,795.8684,FR
2018,12.565565,0,773.9,2,235,874.13666,FR
2019,12.241022,2,744.8,3,220,880.14624,FR
2020,13.03515,1,651.3,0,232,925.0471,FR
2021,11.425748,0,754.4,1,227,788.285,FR
2022,12.871673,1,712.8,3,249,924.6437,FR
2023,12.934554,0,949.0,7,219,865.9452,FR
2010,18.584967,19,315.7,2,311,1314.7756,GR
2011,17.01805,4,443.4,3,306,1300.9329,GR
2012,18.27964,26,363.6,3,302,1411.1691,GR
2013,18.342472,3,329.9,3,311,1393.4579,GR
2014,18.31152,6,429.6,5,300,1289.6285,GR
2015,17.613495,8,401.8,3,306,1294.6261,GR
2016,18.349928,6,254.20001,1,324,1384.2136,GR
2017,17.716722,17,461.5,5,298,1387.4706,GR
2018,18.076855,1,603.9,5,283,1322.386,GR
2019,17.812906,5,704.7,10,286,1330.3154,GR
2020,17.762392,5,579.6,7,302,1343.0867,GR
2021,17.910126,22,511.9,5,301,1360.0391,GR
2022,17.726221,8,353.3,2,310,1391.5192,GR
2023,18.41975,23,561.4,7,285,1316.221,GR
2010,10.877769,0,1040.7,12,231,783.53864,HR
2011,12.195257,0,513.60004,6,285,934.1551,HR
2012,12.356038,0,767.7,7,253,949.6119,HR
2013,11.697564,2,1013.3,6,238,840.548,HR
2014,12.625714,0,1255.3,16,210,791.37164,HR
2015,12.522724,0,893.0,10,269,889.2783,HR
2016,12.07467,0,919.6,5,239,838.9611,HR
2017,11.994589,1,932.5,12,244,939.1083,HR
2018,12.189721,0,919.8,9,233,854.4312,HR
2019,12.374761,0,1020.60004,9,236,867.5033,HR
2020,12.117936,0,921.3,10,255,910.9822,HR
2021,11.537505,0,803.4,10,251,885.9043,HR
2022,12.367231,0,710.4,5,261,924.1697,HR
2023,12.633214,0,1182.9,16,239,869.57697,HR
2010,10.359502,0,1000.5,9,223,768.3221,HU
2011,11.479416,0,396.7,0,278,921.849,HU
2012,12.156764,2,471.1,1,278,1005.4585,HU
2013,11.644132,1,674.4,2,245,866.4168,HU
2014,12.513423,0,819.9,7,226,833.9949,HU
2015,12.257818,0,554.89996,2,267,899.56915,HU
2016,11.551846,0,749.6,6,254,850.71075,HU
2017,11.37428,0,675.9,4,263,947.3175,HU
2018,12.383705,0,692.0,5,245,934.86346,HU
2019,12.404669,0,730.0,6,246,927.97534,HU
2020,11.935212,0,700.6,5,247,924.91376,HU
2021,11.133978,0,512.7,3,263,923.06,HU
2022,12.285823,3,579.0,2,269,1018.08185,HU
2023,12.503926,0,952.9,9,235,937.9384,HU
2010,9.024066,0,846.1,4,209,596.73535,IE
2011,10.468084,0,742.9,2,210,609.56354,IE
2012,9.970893,0,986.6,5,207,576.9979,IE
2013,10.02123,0,782.1,5,227,636.5578,IE
