year,gdp_per_capita,unemployment_rate,population,urban_pct,country_code
2010,46611.1393420232,4.883,8363404.0,67.1047429254747,AT
2011,51116.8953522042,4.637,8391643.0,67.1484255415056,AT
2012,48250.4059142637,4.909,8429991.0,67.2085909812279,AT
2013,50305.3545774973,5.367,8479823.0,67.2981308784247,AT
2014,51314.9722616322,5.674,8546356.0,67.4154327591781,AT
2015,43915.228020857,5.802,8642699.0,67.5576175537383,AT
2016,45061.4993920192,6.064,8736668.0,67.7218061923556,AT
2017,47163.7425775142,5.561,8797566.0,67.9051196052802,AT
2018,51194.0749841299,4.933,8840521.0,68.1046787227623,AT
2019,49885.9947355204,4.56,8879920.0,68.3176044750522,AT
2020,48716.4098900349,5.201,8916864.0,68.5410177924001,AT
2021,53648.6437976214,6.459,8955797.0,68.773601700253,AT
2022,52336.7725223758,4.992,9041851.0,68.998085127906,AT
2023,56579.504175468,5.264,9131761.0,69.2265358276021,AT
2010,44197.393671162,8.293,10895586.0,84.9719309583717,BE
2011,47760.8298776546,7.14,11038264.0,85.2349607044689,BE
2012,44874.1709182123,7.542,11106932.0,85.4915403816388,BE
2013,46964.5946777056,8.425,11159407.0,85.7415410247275,BE
2014,47995.7786961339,8.523,11209057.0,85.9848336685807,BE
2015,40893.804537772,8.482,11274196.0,86.2212893480444,BE
2016,41854.5498296444,7.83,11331422.0,86.4507790979645,BE
2017,44035.3239358548,7.09,11375158.0,86.6731739531869,BE
2018,47487.2100392561,5.941,11427054.0,86.8883449485575,BE
2019,46716.6227467964,5.364,11488980.0,87.0961631189222,BE
2020,45906.2875805246,5.545,11538604.0,87.2964994991269,BE
2021,51658.238294958,6.248,11586195.0,87.4305564090635,BE
2022,50605.7496677086,5.57,11680210.0,87.489200269855,BE
2023,55291.4754541329,5.547,11779946.0,87.551492636772,BE
2010,6853.94805511171,10.279,7395599.0,71.5149307250977,BG
2011,7849.58061302818,11.26,7348328.0,72.6101653885532,BG
2012,7431.95789508871,12.27,7305888.0,72.7684860229492,BG
2013,7795.98092108928,12.941,7160005.0,72.9632821572019,BG
2014,8069.60005667684,11.424,7073572.0,73.0844879150391,BG
2015,7268.65445473873,9.143,6984225.0,73.1030578613281,BG
2016,7822.49923292968,7.575,6894139.0,73.1750030517578,BG
2017,8696.68930427924,6.164,6803468.0,73.3904571533203,BG
2018,9849.38397225174,5.211,6710798.0,73.600212097168,BG
2019,10353.7204584127,4.148,6616726.0,73.7162322998047,BG
2020,10760.211975413,5.037,6550696.0,73.3239898681641,BG
2021,12966.1457543396,5.166,6507301.0,73.346765618041,BG
2022,13999.1949530956,4.148,6465097.0,73.4799164005224,BG
2023,15853.208636704,4.319,6446596.0,73.7322671584613,BG
2010,31105.02734375,6.359,1127816.0,67.5229111556342,CY
2011,32485.798828125,7.942,1146493.0,67.3979892758544,CY
2012,28991.935546875,12.097,1165397.0,67.3010289148738,CY
2013,27764.73046875,16.131,1183895.0,67.2102333625375,CY
2014,26993.103515625,16.277,1201801.0,67.1230558819804,CY
2015,23088.44140625,15.026,1219502.0,67.0402477918073,CY
2016,24280.056640625,13.006,1237112.0,66.9625604106231,CY
2017,26247.44921875,11.155,1254275.0,66.8907450570326,CY
2018,29120.375,8.504,1270737.0,66.8255530496405,CY
2019,29227.173828125,7.155,1286671.0,66.7677357070518,CY
2020,28130.341796875,7.755,1302247.0,66.7180443478713,CY
2021,32937.83984375,7.513,1317309.0,66.6718365394971,CY
2022,33231.04296875,6.806,1331370.0,66.6694829407584,CY
2023,36623.69140625,5.835,1344976.0,66.6739477522639,CY
2010,20160.4355077059,7.281,10474410.0,73.3495599222723,CZ
2011,22049.1080788682,6.712,10496088.0,73.2878338394746,CZ
2012,20014.0354015165,6.979,10510785.0,73.2249239592898,CZ
2013,20260.4954999375,6.953,10514272.0,73.1622186934979,CZ
2014,20038.4163180257,6.108,10525347.0,73.0995921041469,CZ
2015,17931.5987670768,5.048,10546059.0,73.0370442874355,CZ
2016,18753.9686718096,3.952,10566332.0,72.9745753395623,CZ
2017,20913.197632212,2.893,10594438.0,72.9121853567256,CZ
2018,23705.9329811299,2.246,10629928.0,72.8498744351241,CZ
2019,24062.7190013343,2.015,10671870.0,72.7876426709563,CZ
2020,23472.8915454417,2.55,10697858.0,72.7254901604208,CZ
2021,27696.4619527544,2.803,10505772.0,72.6810594374316,CZ
2022,28282.2236715857,2.224,10672118.0,72.6967638379524,CZ
2023,31761.5944102491,2.579,10864042.0,72.7352388396817,CZ
2010,42396.9665976293,7.043,81776930.0,80.305702559949,DE
2011,47630.9761883572,5.967,80274983.0,80.3405762928198,DE
2012,44718.0159214069,5.372,80425823.0,80.393447520218,DE
2013,47206.8353514242,5.316,80645605.0,80.4732318400362,DE
2014,48959.5991203133,4.979,80982500.0,80.57574023743,DE
2015,41929.7549110722,4.612,81686611.0,80.6974371632814,DE
2016,42948.9381932694,4.104,82348669.0,80.8347870684725,DE
2017,45553.9341495339,3.781,82657002.0,80.9842544038853,DE
2018,48916.1686612154,3.384,82905782.0,81.1423036204018,DE
2019,47656.199739747,3.163,83092962.0,81.3053991689039,DE
2020,47394.8734504469,3.881,83160871.0,81.4700055002738,DE
2021,52349.2459994422,3.594,83196078.0,81.6325870653934,DE
2022,50506.5179638543,3.137,83177813.0,81.7867852780995,DE
