year,country,actual,predicted,error
2019,BE,12885.000000000002,45271.43026339184,-32386.43026339184
2020,BE,14774.999999999989,51295.74589725548,-36520.74589725549
2021,BE,39930.00000000003,39851.7800839318,78.21991606822849
2022,BE,112270.00000000003,49626.49167951276,62643.50832048727
2023,BE,59229.99999999997,90103.87013592407,-30873.870135924095
2019,BE,27505.00000000002,41943.120829052576,-14438.120829052557
2020,BE,16734.999999999996,61473.93320710199,-44738.93320710199
2021,BE,25034.99999999998,74502.9224441065,-49467.922444106516
2022,BE,36794.99999999999,77870.95745658968,-41075.957456589684
2023,BE,35225.00000000002,93322.90928332473,-58097.909283324705
2019,BG,2150.0,7638.114138297406,-5488.114138297406
2020,BG,3525.0000000000023,11207.632254379541,-7682.6322543795395
2021,BG,10999.999999999993,9120.39486691822,1879.6051330817736
2022,BG,20389.999999999996,13443.071226633358,6946.928773366639
2023,BG,22510.0,18868.48818296514,3641.5118170348615
2019,CY,13649.999999999989,4266.30418001654,9383.695819983448
2020,CY,7495.000000000001,8886.541173753169,-1391.5411737531676
2021,CY,13670.0,6790.4176362328635,6879.5823637671365
2022,CY,22189.999999999996,3252.5559062500483,18937.44409374995
2023,CY,11910.000000000005,6752.374312329035,5157.62568767097
2019,CZ,1920.0000000000007,1875.7568397156176,44.243160284383066
2020,CZ,1164.9999999999998,2187.3866447199093,-1022.3866447199096
2021,CZ,1410.0000000000007,2370.162107563808,-960.1621075638075
2022,CZ,1689.9999999999993,2158.1060958197513,-468.106095819752
2023,CZ,1405.0000000000002,1942.754723335177,-537.7547233351768
2019,DE,165684.9999999999,172537.83210722232,-6852.832107222406
2020,DE,122015.0,268648.12669233116,-146633.12669233116
2021,DE,190614.99999999985,220799.7067760927,-30184.706776092848
2022,DE,243880.0,327522.7078473864,-83642.70784738642
2023,DE,351600.00000000006,324501.647089296,27098.352910704038
2019,DK,2740.0000000000005,12050.387191082196,-9310.387191082196
2020,DK,1489.9999999999993,13440.336291662497,-11950.336291662497
2021,DK,2100.0000000000005,13254.52521579528,-11154.52521579528
2022,DK,4595.000000000001,18583.496437757698,-13988.496437757698
2023,DK,2480.0000000000005,19511.754409272366,-17031.754409272366
2019,EE,104.99999999999997,173.46543374353533,-68.46543374353536
2020,EE,50.0,433.4434462611936,-383.4434462611936
2021,EE,80.00000000000003,198.73316431293236,-118.73316431293233
2022,EE,2945.0000000000005,264.249920351729,2680.7500796482714
2023,EE,3985.0000000000005,279.0604010326582,3705.939598967342
2019,ES,117815.00000000001,14677.273420047182,103137.72657995284
2020,ES,88540.0,24104.02223739237,64435.977762607625
2021,ES,65314.999999999985,27707.524969094542,37607.47503090544
2022,ES,117959.99999999999,44810.63243548635,73149.36756451364
2023,ES,162435.00000000015,31800.208309085192,130634.79169091495
2019,FI,4534.999999999999,11897.300199793508,-7362.300199793509
2020,FI,3204.999999999999,15846.461663722486,-12641.461663722486
2021,FI,2539.9999999999995,13766.132560141223,-11226.132560141223
2022,FI,5804.999999999997,18959.27486876161,-13154.274868761615
2023,FI,5354.999999999999,18462.75872938703,-13107.758729387031
2019,FR,151069.99999999994,74947.05971391691,76122.94028608303
2020,FR,93200.00000000006,101196.51764482608,-7996.517644826017
2021,FR,120704.99999999991,153177.59175392857,-32472.59175392866
2022,FR,156569.99999999994,140401.1036169011,16168.89638309885
2023,FR,167055.0,142138.85243154663,24916.147568453365
2019,GR,77285.00000000003,35939.47747067603,41345.522529324
2020,GR,40560.00000000002,53128.67759688505,-12568.677596885027
2021,GR,28355.000000000007,108543.00737149487,-80188.00737149487
2022,GR,37379.99999999998,65251.448599263,-27871.44859926302
2023,GR,64229.99999999998,166943.90387402294,-102713.90387402297
2019,HR,1399.9999999999995,252.51050669615103,1147.4894933038486
2020,HR,1605.0,239.86173332487232,1365.1382666751276
2021,HR,2549.999999999999,189.9321850179944,2360.0678149820046
2022,HR,2730.000000000001,334.3225528297481,2395.677447170253
2023,HR,1750.0000000000002,455.00188639572247,1294.9981136042777
2019,HU,499.9999999999999,14247.021879767735,-13747.021879767735
2020,HU,114.99999999999999,15791.212483528832,-15676.212483528832
2021,HU,40.00000000000001,14802.711714359286,-14762.711714359286
2022,HU,45.0,22190.56923272915,-22145.56923272915
2023,HU,30.0,26631.29866798069,-26601.29866798069
2019,IE,4779.999999999996,2815.4845542031276,1964.5154457968688
2020,IE,1564.9999999999998,2694.3339130744093,-1129.3339130744096
2021,IE,2649.9999999999995,2397.2091161344947,252.79088386550484
2022,IE,13659.999999999989,2332.164922371469,11327.83507762852
2023,IE,13274.999999999993,2845.859086995954,10429.14091300404
2019,IT,43774.99999999997,70712.07345652574,-26937.073456525774
2020,IT,26950.000000000022,118650.90051644028,-91700.90051644025
2021,IT,53609.999999999985,141531.78118018497,-87921.78118018499
2022,IT,84289.99999999994,117653.69935988712,-33363.69935988718
2023,IT,135820.00000000012,231090.71667504587,-95270.71667504575
2019,LT,645.0,720.2003485439316,-75.20034854393157
2020,LT,315.00000000000006,1003.0285634327003,-688.0285634327001
2021,LT,3940.0000000000014,1241.7561064108183,2698.2438935891832
2022,LT,1025.0,1126.7677876990576,-101.76778769905764
2023,LT,575.0000000000001,1255.4841020329904,-680.4841020329903
2019,LU,2270.0,4502.73643512158,-2232.73643512158
2020,LU,1345.0000000000002,4337.64050381839,-2992.6405038183902
2021,LU,1420.0,5680.877629996287,-4260.877629996287
2022,LU,2459.999999999999,4221.543386158979,-1761.54338615898
2023,LU,2685.0000000000005,7477.922372357879,-4792.922372357878
2019,LV,194.99999999999991,431.3477354805956,-236.34773548059567
2020,LV,180.00000000000006,688.0976841981299,-508.0976841981298
2021,LV,614.9999999999998,523.0789354903812,91.92106450961853
2022,LV,620.0,442.64380307925865,177.35619692074135
2023,LV,1700.0,752.1539187023324,947.8460812976676
2019,MT,4089.999999999998,2170.596194529893,1919.403805470105
2020,MT,2480.0000000000005,3409.735050572949,-929.7350505729487
2021,MT,1595.0000000000007,4055.4798815459194,-2460.479881545919
2022,MT,1319.9999999999998,4295.828462767071,-2975.828462767071
2023,MT,854.9999999999999,5791.3143056881345,-4936.3143056881345
2019,NL,25260.00000000001,42512.52799572687,-17252.52799572686
2020,NL,15319.999999999998,47675.90833416222,-32355.908334162217
2021,NL,26555.00000000002,71799.86018974433,-45244.860189744315
2022,NL,37060.00000000001,66966.91706314433,-29906.91706314432
2023,NL,39754.999999999985,66100.88590840719,-26345.885908407203
2019,PL,4080.0000000000036,15085.24581680368,-11005.245816803676
2020,PL,2790.0000000000005,27019.061191369787,-24229.061191369787
2021,PL,7810.000000000003,29428.1035298045,-21618.103529804495
2022,PL,9824.999999999995,43175.145189233284,-33350.14518923329
2023,PL,9494.999999999996,30117.97648189575,-20622.976481895752
2019,PT,1820.0000000000007,1038.3959576772043,781.6040423227964
2020,PT,999.9999999999999,2059.0728865006904,-1059.0728865006904
2021,PT,1539.9999999999995,1738.3559276688627,-198.35592766886316
2022,PT,2119.9999999999995,1563.601999206067,556.3980007939326
2023,PT,2695.0000000000005,1676.755260422005,1018.2447395779955
2019,RO,2590.0,3227.8256149688773,-637.8256149688773
2020,RO,6154.999999999996,3291.7164871811046,2863.2835128188917
2021,RO,9585.000000000002,5088.320592265982,4496.67940773402
2022,RO,12355.000000000005,4102.362083754113,8252.637916245892
2023,RO,10095.00000000001,5314.2621007609105,4780.737899239099
2019,SE,30365.00000000002,112295.41524207543,-81930.41524207541
2020,SE,20235.0,122072.67966805314,-101837.67966805314
2021,SE,20419.999999999985,143434.2662263307,-123014.26622633073
2022,SE,23844.99999999998,145685.07803161195,-121840.07803161196
2023,SE,17040.000000000007,172457.49202779232,-155417.49202779232
2019,SI,3819.9999999999977,1360.660712555683,2459.339287444315
2020,SI,3549.9999999999977,1202.9027644978064,2347.0972355021913
2021,SI,5299.999999999997,1215.144840932473,4084.8551590675243
2022,SI,6785.0000000000055,1963.5563300781964,4821.4436699218095
2023,SI,7259.999999999999,2269.623065713029,4990.37693428697
2019,SK,229.99999999999994,649.8482789206249,-419.848278920625
2020,SK,279.9999999999999,743.3253900877108,-463.32539008771096
